127.0.0.1, 2010-10-24 16:24:29, GET, /, HTTP/1.1, 303, 0.000735
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.959378
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.001881
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.001659
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.000928
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.000410
127.0.0.1, 2010-10-24 16:24:30, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.003806
127.0.0.1, 2010-10-24 16:24:31, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000415
127.0.0.1, 2010-10-24 16:24:40, GET, /admin/default/index, HTTP/1.1, 200, 0.183990
127.0.0.1, 2010-10-24 16:24:40, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.001063
127.0.0.1, 2010-10-24 16:24:40, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.001281
127.0.0.1, 2010-10-24 16:24:40, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.002994
127.0.0.1, 2010-10-24 16:24:40, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000399
127.0.0.1, 2010-10-24 16:24:40, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2010-10-24 16:24:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000695
127.0.0.1, 2010-10-24 16:24:41, POST, /admin/default/index, HTTP/1.1, 303, 0.053009
127.0.0.1, 2010-10-24 16:24:41, GET, /admin/default/site, HTTP/1.1, 200, 0.036419
127.0.0.1, 2010-10-24 16:24:41, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.001100
127.0.0.1, 2010-10-24 16:24:41, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.001048
127.0.0.1, 2010-10-24 16:24:41, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.000704
127.0.0.1, 2010-10-24 16:24:41, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.000467
127.0.0.1, 2010-10-24 16:24:41, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000488
127.0.0.1, 2010-10-24 16:24:42, POST, /admin/default/check_version, HTTP/1.1, 200, 0.963029
127.0.0.1, 2010-10-24 16:24:47, GET, /admin/default/twitter, HTTP/1.1, 200, 5.068367
127.0.0.1, 2010-10-24 16:24:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2010-10-24 16:25:44, GET, /admin/default/site, HTTP/1.1, 200, 0.032256
127.0.0.1, 2010-10-24 16:25:45, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.000426
127.0.0.1, 2010-10-24 16:25:45, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.000376
127.0.0.1, 2010-10-24 16:25:45, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.000385
127.0.0.1, 2010-10-24 16:25:45, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.000378
127.0.0.1, 2010-10-24 16:25:45, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000462
127.0.0.1, 2010-10-24 16:25:46, GET, /admin/default/twitter, HTTP/1.1, 200, 1.536640
127.0.0.1, 2010-10-24 16:25:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000543
